co_code,nsesymbol,broker_name,sales,pat,ebitda,picked_type,expected_sales,expected_ebitda,expected_pat,ebitda_margin_percent,pat_margin_percent,sales_beat,pat_beat,ebitda_beat,sales_flag,pat_flag,ebitda_flag,overall_flag
6423,EMAMILTD,Batlivala & Karani Securities India Pvt. Ltd.,904.09,164.26,212.10999999999999,Consolidated,833.6,180.9,120.1,21.7,14.4,8.456094049904031,36.76935886761032,17.252625760088435,Beat,Beat,Beat,Beat
74023,EMBASSY,Nuvama Institutional Equities,1059.79,155.17,820.96,Consolidated,1099.2,839.2,212.9,76.4,19.4,-3.5853347889374163,-27.116016909347117,-2.173498570066731,Inline,Miss,Inline,Miss
12029,ENGINERSIN,Batlivala & Karani Securities India Pvt. Ltd.,857.15,70.08,69.66,Standalone,706.4,68.5,74.2,9.7,10.5,21.340600226500566,-5.552560646900275,1.6934306569343016,Beat,Miss,Inline,Miss
43685,EQUITASBNK,Axis Securities,1648.86,-223.76,23.0799999999997,Standalone,1039.0,278.0,1.0,26.8,0.1,58.6968238691049,-22476.0,-91.6978417266188,Beat,Miss,Miss,Miss
43685,EQUITASBNK,Batlivala & Karani Securities India Pvt. Ltd.,1648.86,-223.76,23.0799999999997,Standalone,1086.3,75.0,66.9,6.9,6.2,51.78679922673295,-434.4693572496262,-69.22666666666707,Beat,Miss,Miss,Miss
161,ESCORTS,Nuvama Institutional Equities,2500.05,1397.1,321.4000000000001,Consolidated,2547.7,317.0,319.5,12.4,12.5,-1.8703144012246198,337.2769953051643,1.3880126182965586,Inline,Beat,Inline,Beat
161,ESCORTS,Batlivala & Karani Securities India Pvt. Ltd.,2500.05,1397.1,321.4000000000001,Consolidated,2597.4,327.3,329.7,12.6,12.7,-3.7479787479787445,323.74886260236576,-1.802627558814519,Inline,Beat,Inline,Beat
68117,ETERNAL,Batlivala & Karani Securities India Pvt. Ltd.,7167.0,25.0,115.0,Consolidated,6379.1,172.2,94.0,2.7,1.5,12.351272123026753,-73.40425531914893,-33.217189314750286,Beat,Miss,Miss,Miss
111,EXIDEIND,Nuvama Institutional Equities,4695.12,274.58,538.34,Consolidated,4659.1,547.9,317.3,11.8,6.8,0.7731106866132842,-13.463599117554374,-1.7448439496258343,Inline,Miss,Inline,Miss
111,EXIDEIND,Batlivala & Karani Securities India Pvt. Ltd.,4509.81,320.45,548.22,Standalone,4550.0,541.4,308.8,11.9,6.8,-0.8832967032966945,3.772668393782376,1.2596970816402013,Inline,Inline,Inline,Inline
